Index;sexe;Tranche Age;enfant_conduite_accompagne;enfants;Tranche Revenu;formation;usage_vehicule;type_vehicule;points_perdus;age_vehicule;type_conduite;date_demande;formule;Tranche Tarifaire ;code postal
298;F;Senior : 65 ans et plus;Aucun;FAUX;[60K - 80K[;Masters;Private;Pickup;Moyen;10.0;Highly Urban/ Urban;16/04/2022 10:28;dev_integral;Basse;70400
299;F;Jeune : moins de 25 ans;Aucun;VRAI;[40K - 60K[;Masters;Commercial;Panel Truck;Faible;21.0;Highly Urban/ Urban;21/03/2022 00:34;dev_express;Basse;62217
300;M;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;High School;Commercial;Sports Car;Faible;1.0;Highly Rural/ Rural;10/05/2022 09:58;dev_integral;Basse;47800
301;F;Jeune : moins de 25 ans;Aucun;VRAI;[80K - 120K[;High School;Private;Pickup;Faible;10.0;Highly Rural/ Rural;11/04/2022 21:52;dev_integral;Basse;34210
302;F;Adulte : 25-64 ans;Aucun;VRAI;[0 - 40K[;High School;Private;SUV;Faible;1.0;Highly Rural/ Rural;13/05/2022 22:59;dev_express;Basse;82370
303;F;Senior : 65 ans et plus;Plusieurs;VRAI;[0 - 40K[;High School;Private;Minivan;Moyen;1.0;Highly Urban/ Urban;26/05/2022 20:49;dev_integral;Moyenne;62420
304;F;Senior : 65 ans et plus;Aucun;FAUX;[40K - 60K[;Bachelors;Private;Pickup;Faible;10.0;Highly Rural/ Rural;03/03/2022 14:18;dev_express;Basse;72000
305;F;Senior : 65 ans et plus;Aucun;FAUX;>120K;PhD;Private;Sports Car;Faible;12.0;Highly Urban/ Urban;26/01/2022 19:37;dev_express;Basse;84000
306;M;Jeune : moins de 25 ans;Aucun;FAUX;>120K;Masters;Commercial;Pickup;Moyen;20.0;Highly Urban/ Urban;22/01/2022 01:15;dev_express;Basse;46400
307;F;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;Bachelors;Private;SUV;Faible;3.0;Highly Urban/ Urban;25/05/2022 07:24;dev_express;Basse;23200
308;F;Jeune : moins de 25 ans;Aucun;FAUX;[60K - 80K[;Bachelors;Private;Minivan;Faible;11.0;Highly Urban/ Urban;03/02/2022 17:35;dev_premium;Moyenne;41600
309;F;Adulte : 25-64 ans;Aucun;FAUX;>120K;PhD;Commercial;Panel Truck;Moyen;19.0;Highly Urban/ Urban;08/01/2022 02:38;dev_express;Basse;54280
310;F;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;Bachelors;Commercial;Minivan;Faible;11.0;Highly Rural/ Rural;02/05/2022 00:05;dev_express;Basse;10800
311;M;Adulte : 25-64 ans;Aucun;FAUX;[40K - 60K[;High School;Commercial;Sports Car;Faible;7.0;Highly Urban/ Urban;18/05/2022 16:18;dev_express;Basse;74540
312;M;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;High School;Private;Minivan;Faible;8.0;Highly Rural/ Rural;25/05/2022 08:12;dev_premium;Moyenne;59220
313;M;Senior : 65 ans et plus;Un;VRAI;[40K - 60K[;Bachelors;Private;Sports Car;Moyen;1.0;Highly Urban/ Urban;04/05/2022 10:23;dev_integral;Moyenne;61100
314;F;Adulte : 25-64 ans;Aucun;VRAI;>120K;Masters;Private;Pickup;Moyen;12.0;Highly Urban/ Urban;16/04/2022 07:28;dev_integral;Moyenne;94000
315;M;Jeune : moins de 25 ans;Aucun;FAUX;[0 - 40K[;High School;Private;Minivan;Faible;1.0;Highly Urban/ Urban;17/02/2022 11:37;dev_integral;Moyenne;32600
316;M;Senior : 65 ans et plus;Aucun;FAUX;[80K - 120K[;Masters;Private;Minivan;Faible;11.0;Highly Urban/ Urban;25/04/2022 08:56;dev_premium;Moyenne;38800
317;F;Jeune : moins de 25 ans;Aucun;FAUX;[0 - 40K[;High School;Commercial;Panel Truck;Faible;7.0;Highly Urban/ Urban;24/03/2022 18:04;dev_integral;Basse;45200
318;F;Adulte : 25-64 ans;Aucun;VRAI;[0 - 40K[;High School;Private;SUV;Faible;5.0;Highly Rural/ Rural;24/01/2022 04:40;dev_express;Basse;38360
319;M;Senior : 65 ans et plus;Un;VRAI;Non connu;High School;Private;Pickup;Faible;9.0;Highly Rural/ Rural;03/03/2022 06:41;dev_integral;Moyenne;78700
320;F;Adulte : 25-64 ans;Aucun;FAUX;>120K;PhD;Private;Van;Faible;14.0;Highly Urban/ Urban;29/01/2022 15:32;dev_integral;Moyenne;39100
321;F;Senior : 65 ans et plus;Un;VRAI;[0 - 40K[;High School;Private;SUV;Faible;4.0;Highly Rural/ Rural;29/04/2022 12:31;dev_integral;Moyenne;69004
322;F;Senior : 65 ans et plus;Aucun;FAUX;[60K - 80K[;High School;Private;Sports Car;Faible;6.0;Highly Urban/ Urban;11/01/2022 18:54;dev_integral;Moyenne;47110
323;F;Adulte : 25-64 ans;Aucun;VRAI;[0 - 40K[;High School;Commercial;Pickup;Moyen;1.0;Highly Rural/ Rural;11/05/2022 07:38;dev_express;Basse;34970
324;F;Adulte : 25-64 ans;Aucun;VRAI;[0 - 40K[;High School;Private;SUV;Moyen;1.0;Highly Urban/ Urban;07/05/2022 22:16;dev_express;Basse;8000
325;M;Jeune : moins de 25 ans;Aucun;FAUX;[80K - 120K[;High School;Commercial;Minivan;Moyen;1.0;Highly Urban/ Urban;08/02/2022 23:25;dev_express;Basse;76690
326;F;Senior : 65 ans et plus;Aucun;FAUX;[80K - 120K[;Masters;Private;Minivan;Moyen;19.0;Highly Urban/ Urban;01/02/2022 06:20;dev_integral;Moyenne;87000
327;F;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;Bachelors;Commercial;SUV;Moyen;12.0;Highly Urban/ Urban;10/03/2022 16:31;dev_integral;Moyenne;18000
328;F;Adulte : 25-64 ans;Aucun;FAUX;[40K - 60K[;High School;Private;Minivan;Faible;1.0;Highly Urban/ Urban;08/03/2022 15:24;dev_integral;Moyenne;12170
329;F;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;High School;Private;SUV;Faible;9.0;Highly Rural/ Rural;27/05/2022 17:51;dev_premium;Moyenne;91230
330;F;Adulte : 25-64 ans;Aucun;FAUX;[60K - 80K[;Bachelors;Private;Pickup;Moyen;9.0;Highly Urban/ Urban;07/01/2022 08:08;dev_vip;Elevée;93800
331;M;Senior : 65 ans et plus;Un;VRAI;[0 - 40K[;High School;Private;Minivan;Faible;1.0;Highly Urban/ Urban;14/02/2022 20:28;dev_express;Basse;78300
332;M;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;Bachelors;Private;Sports Car;Faible;4.0;Highly Urban/ Urban;21/02/2022 01:00;dev_express;Basse;91100
333;M;Adulte : 25-64 ans;Aucun;VRAI;[0 - 40K[;Bachelors;Commercial;Van;Faible;7.0;Highly Rural/ Rural;09/04/2022 20:12;dev_integral;Basse;88550
334;F;Adulte : 25-64 ans;Aucun;VRAI;[60K - 80K[;Bachelors;Commercial;Minivan;Moyen;9.0;Highly Urban/ Urban;25/03/2022 02:23;dev_integral;Moyenne;43200
335;F;Adulte : 25-64 ans;Aucun;VRAI;[80K - 120K[;Masters;Private;SUV;Faible;20.0;Highly Urban/ Urban;31/03/2022 08:06;dev_express;Basse;13790
336;M;Jeune : moins de 25 ans;Aucun;FAUX;[40K - 60K[;Masters;Private;Sports Car;Faible;15.0;Highly Urban/ Urban;02/02/2022 02:18;dev_integral;Basse;48100
337;M;Adulte : 25-64 ans;Aucun;FAUX;[40K - 60K[;Bachelors;Commercial;Pickup;Faible;7.0;Highly Urban/ Urban;08/05/2022 12:04;dev_integral;Moyenne;20000
338;M;Adulte : 25-64 ans;Aucun;VRAI;[80K - 120K[;Masters;Commercial;SUV;Faible;9.0;Highly Urban/ Urban;04/04/2022 21:09;dev_integral;Basse;95000
339;F;Adulte : 25-64 ans;Un;VRAI;[0 - 40K[;High School;Private;Sports Car;Moyen;6.0;Highly Urban/ Urban;11/01/2022 12:37;dev_express;Basse;63250
340;M;Adulte : 25-64 ans;Aucun;VRAI;>120K;Masters;Commercial;Panel Truck;Moyen;8.0;Highly Urban/ Urban;22/03/2022 14:39;dev_express;Basse;11260
341;M;Senior : 65 ans et plus;Aucun;VRAI;[40K - 60K[;High School;Commercial;Sports Car;Faible;1.0;Highly Urban/ Urban;30/01/2022 05:24;dev_integral;Moyenne;32100
342;M;Adulte : 25-64 ans;Aucun;FAUX;[60K - 80K[;High School;Private;SUV;Moyen;1.0;Highly Urban/ Urban;09/05/2022 02:49;dev_integral;Moyenne;18190
343;M;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;High School;Commercial;Minivan;Moyen;5.0;Highly Urban/ Urban;11/04/2022 20:56;dev_integral;Basse;16500
344;M;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;High School;Commercial;Van;Faible;8.0;Highly Urban/ Urban;10/01/2022 18:15;dev_integral;Moyenne;13012
345;M;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;High School;Private;SUV;Moyen;;Highly Urban/ Urban;26/03/2022 19:37;dev_premium;Moyenne;69460
346;F;Jeune : moins de 25 ans;Aucun;FAUX;[60K - 80K[;Masters;Commercial;Panel Truck;Elevé;14.0;Highly Urban/ Urban;24/02/2022 04:11;dev_express;Basse;93130
347;F;Jeune : moins de 25 ans;Aucun;VRAI;[80K - 120K[;Bachelors;Commercial;Panel Truck;Moyen;3.0;Highly Urban/ Urban;05/03/2022 20:32;dev_integral;Basse;46000
348;F;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;Masters;Private;Minivan;Faible;10.0;Highly Urban/ Urban;30/04/2022 22:26;dev_express;Basse;20290
349;M;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;High School;Private;Sports Car;Faible;1.0;Highly Rural/ Rural;26/01/2022 05:23;dev_integral;Moyenne;39100
350;F;Senior : 65 ans et plus;Un;VRAI;[80K - 120K[;Bachelors;Private;Minivan;Moyen;10.0;Highly Urban/ Urban;06/01/2022 03:41;dev_vip;Elevée;19270
351;M;Adulte : 25-64 ans;Aucun;FAUX;[40K - 60K[;Masters;Private;Minivan;Faible;13.0;Highly Urban/ Urban;09/01/2022 12:44;dev_integral;Moyenne;38080
352;M;Senior : 65 ans et plus;Aucun;VRAI;[80K - 120K[;Bachelors;Commercial;SUV;Faible;1.0;Highly Urban/ Urban;13/01/2022 00:17;dev_integral;Moyenne;56400
353;F;Senior : 65 ans et plus;Aucun;FAUX;>120K;PhD;Private;Sports Car;Elevé;20.0;Highly Urban/ Urban;10/05/2022 08:42;dev_integral;Moyenne;81200
354;M;Senior : 65 ans et plus;Aucun;VRAI;[80K - 120K[;Bachelors;Commercial;Panel Truck;Faible;1.0;Highly Rural/ Rural;02/03/2022 15:25;dev_integral;Moyenne;57230
355;F;Adulte : 25-64 ans;Aucun;VRAI;[60K - 80K[;Masters;Private;Minivan;Moyen;18.0;Highly Urban/ Urban;30/01/2022 12:21;dev_express;Basse;73300
356;F;Adulte : 25-64 ans;Aucun;FAUX;Non connu;Masters;Private;SUV;Faible;25.0;Highly Urban/ Urban;14/04/2022 07:57;dev_integral;Basse;40420
357;M;Adulte : 25-64 ans;Aucun;VRAI;>120K;Masters;Commercial;Panel Truck;Faible;19.0;Highly Urban/ Urban;29/05/2022 01:33;dev_integral;Moyenne;90370
358;M;Jeune : moins de 25 ans;Aucun;VRAI;[0 - 40K[;Masters;Private;Pickup;Faible;17.0;Highly Urban/ Urban;24/05/2022 02:16;dev_express;Basse;66210
359;F;Adulte : 25-64 ans;Aucun;FAUX;[60K - 80K[;High School;Commercial;Pickup;Moyen;11.0;Highly Rural/ Rural;27/01/2022 13:08;dev_integral;Moyenne;15210
360;F;Adulte : 25-64 ans;Aucun;FAUX;[40K - 60K[;Bachelors;Private;Van;Moyen;13.0;Highly Urban/ Urban;07/05/2022 12:43;dev_express;Basse;37300
361;M;Senior : 65 ans et plus;Aucun;VRAI;[0 - 40K[;High School;Commercial;SUV;Faible;8.0;Highly Rural/ Rural;06/03/2022 05:37;dev_premium;Moyenne;42000
362;M;Jeune : moins de 25 ans;Aucun;VRAI;[40K - 60K[;Bachelors;Commercial;SUV;Faible;5.0;Highly Urban/ Urban;06/05/2022 19:28;dev_express;Basse;7430
363;F;Adulte : 25-64 ans;Aucun;VRAI;[40K - 60K[;High School;Private;Minivan;Faible;1.0;Highly Rural/ Rural;23/01/2022 05:32;dev_premium;Moyenne;45140
364;M;Jeune : moins de 25 ans;Aucun;VRAI;[0 - 40K[;High School;Commercial;SUV;Moyen;1.0;Highly Urban/ Urban;21/01/2022 14:17;dev_integral;Basse;62800
365;M;Adulte : 25-64 ans;Aucun;VRAI;Non connu;High School;Private;Minivan;Faible;;Highly Urban/ Urban;24/05/2022 23:51;dev_integral;Moyenne;24100
366;F;Adulte : 25-64 ans;Aucun;VRAI;[0 - 40K[;High School;Private;Minivan;Moyen;8.0;Highly Rural/ Rural;23/04/2022 17:43;dev_integral;Basse;93290
367;F;Adulte : 25-64 ans;Aucun;FAUX;>120K;PhD;Private;SUV;Faible;9.0;Highly Urban/ Urban;19/02/2022 18:27;dev_express;Basse;30140
368;F;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;High School;Private;Minivan;Faible;7.0;Highly Rural/ Rural;10/01/2022 09:54;dev_express;Basse;80570
369;M;Jeune : moins de 25 ans;Aucun;VRAI;[40K - 60K[;Bachelors;Private;Sports Car;Faible;13.0;Highly Urban/ Urban;26/02/2022 17:17;dev_premium;Moyenne;12140
370;F;Adulte : 25-64 ans;Un;VRAI;[0 - 40K[;Bachelors;Private;SUV;Faible;10.0;Highly Urban/ Urban;03/01/2022 08:13;dev_express;Basse;64110
371;M;Adulte : 25-64 ans;Aucun;FAUX;Non connu;Masters;Private;Minivan;Faible;;Highly Urban/ Urban;27/01/2022 16:05;dev_integral;Moyenne;46500
372;M;Senior : 65 ans et plus;Aucun;FAUX;[40K - 60K[;High School;Commercial;Panel Truck;Moyen;8.0;Highly Rural/ Rural;26/05/2022 01:19;dev_integral;Moyenne;94880
373;F;Adulte : 25-64 ans;Aucun;VRAI;[0 - 40K[;High School;Private;Minivan;Moyen;1.0;Highly Urban/ Urban;07/03/2022 14:13;dev_integral;Moyenne;65140
374;F;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;High School;Private;SUV;Moyen;;Highly Urban/ Urban;16/04/2022 20:05;dev_express;Basse;64300
375;M;Adulte : 25-64 ans;Aucun;VRAI;[0 - 40K[;High School;Private;SUV;Moyen;6.0;Highly Urban/ Urban;23/05/2022 01:28;dev_express;Basse;11150
376;F;Senior : 65 ans et plus;Aucun;VRAI;[0 - 40K[;Masters;Private;SUV;Faible;11.0;Highly Urban/ Urban;08/01/2022 06:18;dev_premium;Moyenne;59700
377;M;Jeune : moins de 25 ans;Aucun;VRAI;[60K - 80K[;Masters;Private;Minivan;Faible;21.0;Highly Urban/ Urban;29/05/2022 04:55;dev_integral;Moyenne;46800
378;M;Senior : 65 ans et plus;Un;VRAI;[40K - 60K[;High School;Private;Minivan;Faible;8.0;Highly Urban/ Urban;10/01/2022 03:39;dev_integral;Moyenne;18100
379;F;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;Masters;Private;Minivan;Faible;;Highly Urban/ Urban;18/04/2022 14:58;dev_integral;Moyenne;48000
380;M;Jeune : moins de 25 ans;Aucun;VRAI;>120K;PhD;Private;Minivan;Faible;18.0;Highly Urban/ Urban;16/01/2022 03:51;dev_express;Basse;12000
381;M;Senior : 65 ans et plus;Aucun;FAUX;[40K - 60K[;High School;Commercial;Van;Moyen;7.0;Highly Urban/ Urban;02/01/2022 13:57;dev_express;Basse;39260
382;M;Senior : 65 ans et plus;Aucun;FAUX;>120K;PhD;Commercial;Van;Moyen;16.0;Highly Urban/ Urban;18/03/2022 04:49;dev_integral;Moyenne;85640
383;M;Senior : 65 ans et plus;Aucun;FAUX;>120K;Masters;Private;Sports Car;Faible;14.0;Highly Urban/ Urban;19/01/2022 09:26;dev_premium;Moyenne;41100
384;M;Jeune : moins de 25 ans;Aucun;VRAI;[60K - 80K[;High School;Commercial;SUV;Faible;11.0;Highly Urban/ Urban;06/05/2022 19:13;dev_integral;Basse;3600
385;F;Senior : 65 ans et plus;Aucun;VRAI;[0 - 40K[;High School;Commercial;SUV;Moyen;4.0;Highly Urban/ Urban;27/04/2022 00:03;dev_express;Basse;35620
386;M;Jeune : moins de 25 ans;Aucun;FAUX;>120K;PhD;Private;Minivan;Moyen;19.0;Highly Urban/ Urban;16/02/2022 20:52;dev_express;Basse;8000
387;F;Senior : 65 ans et plus;Aucun;FAUX;Non connu;Bachelors;Private;Pickup;Faible;14.0;Highly Urban/ Urban;06/03/2022 03:04;dev_integral;Basse;71390
388;M;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;High School;Private;SUV;Faible;5.0;Highly Rural/ Rural;07/01/2022 02:54;dev_express;Basse;15000
389;M;Senior : 65 ans et plus;Aucun;VRAI;[80K - 120K[;Masters;Private;Minivan;Faible;16.0;Highly Urban/ Urban;23/02/2022 11:01;dev_express;Basse;80230
390;F;Adulte : 25-64 ans;Un;VRAI;[80K - 120K[;Masters;Private;SUV;Faible;12.0;Highly Urban/ Urban;11/04/2022 10:47;dev_integral;Basse;15160
391;F;Adulte : 25-64 ans;Aucun;FAUX;Non connu;Masters;Private;Sports Car;Faible;15.0;Highly Urban/ Urban;16/03/2022 21:12;dev_integral;Moyenne;53200
392;F;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;High School;Commercial;Minivan;Moyen;11.0;Highly Urban/ Urban;13/05/2022 08:26;dev_express;Basse;72200
393;M;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;Bachelors;Commercial;Panel Truck;Faible;7.0;Highly Urban/ Urban;08/01/2022 21:15;dev_express;Basse;25250
394;F;Senior : 65 ans et plus;Aucun;FAUX;[80K - 120K[;PhD;Private;Van;Faible;3.0;Highly Urban/ Urban;13/03/2022 10:59;dev_express;Basse;68200
395;M;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;High School;Commercial;Pickup;Moyen;8.0;Highly Urban/ Urban;05/01/2022 22:40;dev_express;Basse;76100
396;F;Adulte : 25-64 ans;Plusieurs;VRAI;[60K - 80K[;High School;Commercial;Pickup;Faible;8.0;Highly Urban/ Urban;17/02/2022 01:45;dev_premium;Moyenne;49360
397;M;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;Bachelors;Private;SUV;Faible;16.0;Highly Rural/ Rural;14/04/2022 05:13;dev_premium;Moyenne;44700
398;M;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;Masters;Private;SUV;Moyen;10.0;Highly Urban/ Urban;10/02/2022 01:05;dev_express;Basse;11100
399;M;Senior : 65 ans et plus;Un;VRAI;[80K - 120K[;Bachelors;Commercial;Minivan;Faible;9.0;Highly Rural/ Rural;17/04/2022 21:45;dev_integral;Basse;43110
400;F;Jeune : moins de 25 ans;Aucun;FAUX;Non connu;High School;Commercial;Sports Car;Moyen;1.0;Highly Urban/ Urban;15/02/2022 14:51;dev_integral;Moyenne;81290
401;M;Jeune : moins de 25 ans;Aucun;FAUX;>120K;Masters;Commercial;Panel Truck;Faible;5.0;Highly Urban/ Urban;07/04/2022 15:44;dev_integral;Moyenne;9100
402;M;Senior : 65 ans et plus;Aucun;VRAI;[0 - 40K[;High School;Private;SUV;Elevé;5.0;Highly Urban/ Urban;11/01/2022 21:36;dev_express;Basse;46130
403;M;Adulte : 25-64 ans;Aucun;FAUX;>120K;PhD;Commercial;Panel Truck;Faible;16.0;Highly Urban/ Urban;29/01/2022 06:11;dev_express;Basse;54740
404;M;Adulte : 25-64 ans;Aucun;FAUX;>120K;PhD;Commercial;Panel Truck;Moyen;19.0;Highly Urban/ Urban;27/01/2022 10:26;dev_express;Basse;14440
405;F;Jeune : moins de 25 ans;Aucun;VRAI;[40K - 60K[;High School;Private;Minivan;Faible;7.0;Highly Urban/ Urban;09/04/2022 17:13;dev_integral;Basse;52400
406;F;Jeune : moins de 25 ans;Aucun;VRAI;[60K - 80K[;High School;Commercial;SUV;Faible;8.0;Highly Urban/ Urban;04/02/2022 22:31;dev_integral;Basse;32190
407;M;Jeune : moins de 25 ans;Aucun;VRAI;[60K - 80K[;High School;Private;Minivan;Moyen;9.0;Highly Urban/ Urban;13/04/2022 19:59;dev_premium;Moyenne;25800
408;M;Adulte : 25-64 ans;Aucun;FAUX;Non connu;PhD;Commercial;Van;Faible;14.0;Highly Urban/ Urban;01/03/2022 04:29;dev_premium;Moyenne;29630
409;F;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;High School;Private;SUV;Faible;1.0;Highly Urban/ Urban;13/02/2022 11:48;dev_premium;Moyenne;20000
410;M;Adulte : 25-64 ans;Aucun;VRAI;[0 - 40K[;High School;Commercial;Van;Moyen;1.0;Highly Urban/ Urban;27/03/2022 04:34;dev_integral;Moyenne;51400
411;M;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;Bachelors;Private;Sports Car;Faible;14.0;Highly Urban/ Urban;26/03/2022 22:33;dev_express;Basse;83110
412;F;Senior : 65 ans et plus;Aucun;FAUX;[80K - 120K[;Masters;Private;Pickup;Faible;;Highly Urban/ Urban;05/04/2022 17:32;dev_premium;Moyenne;74240
413;F;Jeune : moins de 25 ans;Aucun;FAUX;[0 - 40K[;Bachelors;Private;SUV;Moyen;16.0;Highly Rural/ Rural;23/01/2022 22:34;dev_premium;Moyenne;18240
414;M;Senior : 65 ans et plus;Aucun;FAUX;[80K - 120K[;Masters;Commercial;Pickup;Faible;16.0;Highly Urban/ Urban;14/02/2022 23:26;dev_integral;Basse;88220
415;F;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;Masters;Private;Pickup;Faible;;Highly Urban/ Urban;31/03/2022 03:07;dev_express;Basse;24000
416;M;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;High School;Private;Pickup;Faible;1.0;Highly Urban/ Urban;11/05/2022 06:47;dev_integral;Moyenne;17700
417;F;Adulte : 25-64 ans;Aucun;VRAI;[0 - 40K[;High School;Private;SUV;Moyen;1.0;Highly Urban/ Urban;24/03/2022 15:19;dev_integral;Moyenne;21120
418;M;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;High School;Private;Pickup;Moyen;1.0;Highly Urban/ Urban;29/03/2022 12:51;dev_express;Basse;85770
419;F;Adulte : 25-64 ans;Aucun;VRAI;Non connu;High School;Commercial;Panel Truck;Faible;1.0;Highly Urban/ Urban;02/01/2022 23:38;dev_integral;Moyenne;59240
420;M;Senior : 65 ans et plus;Un;VRAI;[0 - 40K[;High School;Commercial;Pickup;Moyen;1.0;Highly Urban/ Urban;29/05/2022 03:14;dev_integral;Moyenne;16440
421;M;Jeune : moins de 25 ans;Aucun;FAUX;[80K - 120K[;Masters;Private;Van;Elevé;16.0;Highly Urban/ Urban;18/04/2022 23:11;dev_integral;Moyenne;23600
422;M;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;High School;Private;Minivan;Moyen;1.0;Highly Rural/ Rural;17/04/2022 11:37;dev_integral;Moyenne;73200
423;M;Senior : 65 ans et plus;Aucun;FAUX;[80K - 120K[;Bachelors;Commercial;Minivan;Moyen;7.0;Highly Urban/ Urban;08/03/2022 08:49;dev_integral;Moyenne;81200
424;F;Senior : 65 ans et plus;Aucun;FAUX;[80K - 120K[;Masters;Private;Sports Car;Faible;12.0;Highly Urban/ Urban;28/04/2022 19:59;dev_express;Basse;41600
425;M;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;Bachelors;Commercial;SUV;Faible;7.0;Highly Rural/ Rural;05/04/2022 14:33;dev_premium;Moyenne;19600
426;M;Adulte : 25-64 ans;Plusieurs;VRAI;[0 - 40K[;High School;Commercial;Minivan;Faible;5.0;Highly Urban/ Urban;30/03/2022 17:39;dev_premium;Moyenne;66000
427;F;Adulte : 25-64 ans;Aucun;FAUX;[60K - 80K[;High School;Private;Minivan;Moyen;1.0;Highly Urban/ Urban;09/04/2022 15:27;dev_integral;Moyenne;87000
428;F;Adulte : 25-64 ans;Aucun;FAUX;[80K - 120K[;Masters;Commercial;Panel Truck;Moyen;18.0;Highly Urban/ Urban;06/05/2022 19:05;dev_express;Basse;49000
429;F;Senior : 65 ans et plus;Un;VRAI;[40K - 60K[;Bachelors;Private;SUV;Moyen;11.0;Highly Rural/ Rural;29/04/2022 01:23;dev_integral;Moyenne;33610
430;F;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;High School;Commercial;SUV;Moyen;1.0;Highly Urban/ Urban;03/01/2022 09:08;dev_express;Basse;18100
431;M;Jeune : moins de 25 ans;Aucun;FAUX;[60K - 80K[;Bachelors;Commercial;Panel Truck;Faible;4.0;Highly Rural/ Rural;09/05/2022 02:38;dev_vip;Elevée;83210
432;F;Senior : 65 ans et plus;Aucun;FAUX;Non connu;Bachelors;Commercial;Pickup;Faible;17.0;Highly Urban/ Urban;22/01/2022 15:35;dev_integral;Basse;8700
433;F;Jeune : moins de 25 ans;Aucun;FAUX;[0 - 40K[;PhD;Private;Minivan;Faible;15.0;Highly Urban/ Urban;29/04/2022 09:35;dev_express;Basse;11400
434;F;Senior : 65 ans et plus;Aucun;FAUX;[40K - 60K[;High School;Commercial;Panel Truck;Moyen;;Highly Urban/ Urban;24/02/2022 09:29;dev_integral;Moyenne;13104
435;F;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;High School;Commercial;Pickup;Faible;1.0;Highly Urban/ Urban;01/04/2022 04:04;dev_express;Basse;44390
436;F;Senior : 65 ans et plus;Aucun;FAUX;[80K - 120K[;Bachelors;Commercial;Pickup;Moyen;13.0;Highly Urban/ Urban;12/02/2022 03:31;dev_express;Basse;55300
437;F;Adulte : 25-64 ans;Aucun;VRAI;[40K - 60K[;High School;Private;Van;Faible;12.0;Highly Urban/ Urban;19/04/2022 19:52;dev_integral;Moyenne;34290
438;M;Senior : 65 ans et plus;Aucun;VRAI;[0 - 40K[;High School;Commercial;SUV;Moyen;6.0;Highly Urban/ Urban;06/02/2022 22:10;dev_premium;Moyenne;63910
439;F;Adulte : 25-64 ans;Aucun;VRAI;[0 - 40K[;Bachelors;Private;Sports Car;Faible;9.0;Highly Urban/ Urban;07/01/2022 04:46;dev_integral;Basse;85360
440;F;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;High School;Commercial;Pickup;Faible;1.0;Highly Urban/ Urban;19/03/2022 01:46;dev_premium;Moyenne;46400
441;F;Senior : 65 ans et plus;Aucun;FAUX;Non connu;PhD;Private;Pickup;Faible;;Highly Urban/ Urban;10/03/2022 21:24;dev_integral;Moyenne;69190
442;F;Adulte : 25-64 ans;Aucun;FAUX;[0 - 40K[;Masters;Commercial;Pickup;Faible;19.0;Highly Urban/ Urban;08/05/2022 21:30;dev_integral;Moyenne;59440
443;F;Senior : 65 ans et plus;Aucun;VRAI;[40K - 60K[;Bachelors;Commercial;SUV;Faible;7.0;Highly Urban/ Urban;09/03/2022 21:30;dev_express;Basse;47320
444;M;Senior : 65 ans et plus;Aucun;FAUX;[0 - 40K[;PhD;Private;SUV;Moyen;15.0;Highly Urban/ Urban;20/04/2022 18:29;dev_express;Basse;39120
445;F;Senior : 65 ans et plus;Aucun;FAUX;[80K - 120K[;High School;Commercial;Pickup;Moyen;1.0;Highly Urban/ Urban;05/04/2022 00:30;dev_integral;Moyenne;33000
446;M;Adulte : 25-64 ans;Aucun;VRAI;[80K - 120K[;Masters;Private;SUV;Moyen;9.0;Highly Urban/ Urban;20/05/2022 14:23;dev_integral;Basse;93250
